client_id,signup_date,age_band,gender,sector,employer_size,role_level,language,region,primary_theme,secondary_theme,idiosyncratic_needs,desired_coach_characteristics,wsp_directive_exploratory,wsp_structured_flexible,wsp_challenging_supportive,pers_open,pers_consc,pers_extra,pers_agree,pers_neuro,urgency,intake_narrative
K00209,2023-04-05,25-34,F,professional_services,small,employee,nl,Limburg,zelfonderzoek,stress,value-alignment|emotion-awareness|pattern-awareness,want:emotion_reg|want:self_insight,0.7711,0.09,0.3435,0.3139,0.5295,0.6985,0.5552,0.5841,med,De stress stapelt zich op en ik realiseer me dat ik niet goed weet wat ik eigenlijk waardeer en waarom bepaalde dingen me zoveel energie kosten. Ik wil onderzoeken wat er echt aan de hand is en welke patronen ik herhaal.
K00210,2023-06-15,35-44,M,transport_logistics,medium,employee,nl|en,Noord-Holland,persoonlijk leiderschap,balans werk/prive,ownership-taking|time-management|decision-making,want:leadership_dev|style:experienced,0.5445,0.3288,0.4028,0.4533,0.6045,0.1684,0.4648,0.7548,low,"Ik voel me overbelast door alles wat op mijn bordje komt in zowel werk als privé, maar ik weet niet goed waar ik kan beginnen met veranderen. Ik wil meer eigenaarschap nemen over mijn tijd en keuzes."
K00211,2023-10-25,35-44,F,zorg,large,manager,nl,Zuid-Holland,persoonlijk leiderschap,loopbaan,direction-clarity|identity-clarity|transition-planning,want:career_dev,0.5282,0.43,0.6879,0.4943,0.7816,0.5853,0.6444,0.4587,med,"Als manager in de zorg ben ik twijfelend over mijn volgende stap: wil ik echt in deze richting, of zoek ik iets anders? Ik heb helderheid nodig over mijn identiteit en toekomst als leider."
K00212,2023-01-07,25-34,F,professional_services,large,employee,nl,Overijssel,zelfonderzoek,,reflection-habits|imposter-feelings,want:self_insight|style:same-sector,0.1453,0.6075,0.3844,0.3172,0.7588,0.9082,0.2786,0.1397,low,"Ik ben voortdurend aan het twijfelen over mijn eigen kunnen, ondanks dat ik goed werk lever. Ik wil beter leren reflecteren en dit impostor-gevoel werkelijk begrijpen."
K00213,2023-11-03,45-54,F,zorg,medium,employee,nl|en,Utrecht,persoonlijk leiderschap,loopbaan,values-mapping|decision-making|identity-clarity,want:self_insight,0.3123,0.8052,0.4743,0.181,0.3927,0.4186,0.6393,0.4923,med,Ik sta op een kruispunt in mijn zorgcarrière en voel dat mijn huidige rol niet meer aansluit bij wat ik echt wil. Ik wil mijn waarden helder krijgen en een gerichte keuze maken voor mijn volgende stap.
K00214,2023-09-01,55-64,F,professional_services,small,employee,nl|en,Noord-Brabant,balans werk/prive,loslaten,recovery-routines|role-conflict|boundary-setting|acceptance,want:balance|want:assertiveness,0.5916,0.1774,0.1657,0.5756,0.6825,0.2696,0.6318,0.8192,low,"Ik ben als professional services werker niet in staat om echt los te laten van mijn werk, wat mijn privéleven opslaat. Ik wil leren hoe ik duidelijke grenzen kan stellen en daadwerkelijk kan herstellen."
K00215,2023-12-26,35-44,F,zorg,small,manager,nl,Noord-Brabant,balans werk/prive,persoonlijk leiderschap,ownership-taking|energy-management|decision-making,want:leadership_dev|want:balance,0.2989,0.2583,0.6854,0.5232,0.7692,0.5191,0.614,0.8517,high,De balans tussen mijn rol als manager en mijn persoonlijk leven is helemaal zoek geraakt; ik voel me uitgeput in de zorg en kan mijn energie niet goed verdelen. Ik heb nu hulp nodig om dit om te buigen.
K00216,2023-02-20,25-34,M,professional_services,large,manager,nl,Noord-Holland,balans werk/prive,communicatie,recovery-routines|time-management|role-conflict|boundary-setting,want:stress_resilience|want:assertiveness,0.4534,0.5959,0.6979,0.4087,0.3297,0.6244,0.4078,0.5863,med,Als jonge manager in professional services struikel ik over communicatie en grenzen; mijn werk trekt te veel in mijn persoonlijke ruimte. Ik wil leren hoe ik effectief kan communiceren en toch ruimte voor mezelf behoudt.
K00217,2023-12-24,55-64,M,tech,large,employee,nl,Utrecht,persoonlijk leiderschap,stress,value-alignment|decision-making|self-direction,want:leadership_dev|want:self_insight,0.6254,0.9465,0.4157,0.7641,0.4342,0.4842,0.736,0.6585,med,Ik voel stress omdat mijn werk niet meer aanvoelt waarom ik het doe en ik niet goed weet wat ik eigenlijk wil. Ik wil mijn waarden opnieuw onder ogen zien en bewuste keuzes nemen voor mijn richting.
K00218,2023-07-08,45-54,F,zorg,large,manager,nl,Zuid-Holland,loopbaan,leiderschap,direction-clarity|transition-planning|difficult-conversations,style:challenging|style:supportive,0.1635,0.8384,0.0958,0.6384,0.6882,0.6375,0.6613,0.6177,low,"Ik ben manager in de zorg en zie dat ik naar een volgende stap wil, maar ik weet niet goed hoe ik dat gesprek moet voeren. Ik wil duidelijkheid over mijn loopbaanrichting en beter leren communiceren in moeilijke gesprekken."
K00219,2023-01-12,55-64,M,transport_logistics,large,employee,nl,Noord-Holland,zelfonderzoek,,values-mapping|pattern-awareness,want:self_insight|want:career_dev,0.4896,0.4894,0.4842,0.282,0.2233,0.845,0.7379,0.5219,med,Ik merk dat ik dezelfde keuzes blijf herhalen in mijn werk in transport & logistics en dat voelt niet meer goed. Ik wil onderzoeken welke waarden eigenlijk leidend voor me zijn en waarom ik bepaalde patronen volg.
K00220,2023-01-02,55-64,M,zorg,small,manager,nl,Zuid-Holland,stress,persoonlijk leiderschap,perfectionism|workload-negotiation,style:directive|style:challenging,0.4642,0.8124,0.3706,0.8975,0.3319,0.9094,0.1873,0.3365,low,Als manager in de zorg merk ik dat mijn perfectionism mij en mijn team onder druk zet en dat mijn werkdruk ongezond wordt. Ik wil leren hoe ik meer realistisch kan zijn en beter kan onderhandelen over mijn werkload.
K00221,2023-08-05,25-34,F,professional_services,small,manager,nl,Noord-Holland,stress,emotieregulatie,rumination-reduction|emotion-awareness|perfectionism,want:stress_resilience|style:supportive,0.0706,0.322,0.157,0.2105,0.1992,0.7729,0.7721,0.5176,med,Ik ben jonge manager in professional services en merk dat ik veel piekeren en emotionele reacties heb die mijn werk bemoeilijken. Ik wil beter leren omgaan met mijn emoties en het perfectionism dat erachter zit.
K00222,2023-04-26,25-34,F,professional_services,large,employee,nl|en,Noord-Brabant,zelfonderzoek,balans werk/prive,emotion-awareness|perfectionism,style:supportive|style:directive,0.4247,0.1779,0.4935,0.3091,0.6589,0.4252,0.5126,0.7876,med,Ik voel me gefrustreerd omdat ik in mijn werk zowel perfectionistisch als onbalans ervaar tussen carrière en privé. Ik wil dieper inzien wat er speelt en waarom ik mezelf zo hard drijf.
K00223,2023-10-11,35-44,F,public,medium,employee,nl,Overijssel,balans werk/prive,loslaten,time-management|energy-management|rumination-reduction,want:balance|style:experienced,0.3318,0.4849,0.3896,0.6482,0.311,0.2891,0.1486,0.7448,med,Ik kan het werk niet loslaten en dat vreet aan mijn privéleven en energie in de publieke sector. Ik wil concreet leren hoe ik kan stoppen met piekeren en mijn tijd beter kan verdelen.
K00224,2023-04-24,35-44,M,professional_services,small,employee,nl,Gelderland,zelfvertrouwen,,self-worth|limiting-beliefs,style:flexible|want:self_insight,0.8365,0.2137,0.2335,0.7363,0.3064,0.3939,0.6666,0.6908,med,Ik voel me onzeker over mijn eigen waarde en loop tegen geloofsovertuigingen aan die me tegenhouden in professional services. Ik wil onderzoeken waar dit vandaan komt en mijn zelfvertrouwen opbouwen.
K00225,2023-06-20,55-64,F,professional_services,small,employee,nl,Utrecht,communicatie,balans werk/prive,recovery-routines|listening,want:stress_resilience,0.5612,0.5493,0.5715,0.4595,0.6692,0.5365,0.3339,0.78,high,Ik werk in professional services en ben uitgeput; mijn communicatie lijdt eronder en ik krijg geen rust meer. Ik heb nu echt hulp nodig om grenzen te stellen en mijn energie terug te vinden.
K00226,2023-11-08,35-44,M,tech,medium,manager,nl,Gelderland,persoonlijk leiderschap,loopbaan,values-mapping|direction-clarity|ownership-taking|career-switch,style:same-sector|style:directive,0.3478,0.4049,0.5251,0.158,0.7863,0.3831,0.6553,0.7001,high,Als manager in tech voel ik dat ik in de verkeerde richting zit en mijn waarden niet meer volg; ik moet nu een grote stap durven zetten. Ik wil helderheid over wat ik echt wil en de moed vinden voor een verandering.
K00227,2023-09-21,55-64,F,insurance_finance,large,manager,nl|en,Noord-Brabant,balans werk/prive,,recovery-routines|role-conflict,want:stress_resilience|want:balance,0.0612,0.549,0.2353,0.4743,0.6777,0.5371,0.5957,0.2686,high,"Als manager in de verzekeringsbranche voel ik me op mijn 55e steeds vaker uitgeput door de constante balans tussen leidinggeving en privéleven. Ik zoek nu naar concreet hanteerbare recovery-routines en helderheid over mijn rollen, voordat dit mijn gezondheid verder ondermijnt."
K00228,2023-01-12,35-44,M,transport_logistics,large,director,nl,Limburg,samenwerken,persoonlijk leiderschap,value-alignment|ownership-taking,want:leadership_dev,0.8381,0.0599,0.4676,0.1279,0.828,0.5779,0.191,0.1414,med,"Als directeur in logistiek merk ik dat mijn leiderschap niet aansluit bij mijn diepere waarden, wat friction creëert in het team en bij mezelf. Ik wil onderzoeken wat echt belangrijk voor me is en daar voller eigenaarschap in nemen."
K00229,2023-09-27,55-64,M,professional_services,large,employee,nl|other,Utrecht,loopbaan,stress,boundary-setting|calming-techniques|saying-no,style:directive|want:stress_resilience,0.4861,0.5523,0.6595,0.8983,0.5577,0.6348,0.5692,0.7058,med,Na 25 jaar in professional services voel ik me op mijn 55e steeds meer onder druk staan en kan ik moeilijk 'nee' zeggen; mijn loopbaanvraag wordt nu urgent. Ik wil grenzen stellen en mezelf opnieuw uitvinden voordat ik volledig uitbrand.
K00230,2023-12-22,45-54,M,insurance_finance,small,employee,nl,Zuid-Holland,stress,zelfvertrouwen,boundary-setting|saying-no|recovery-routines,style:flexible|style:same-sector,0.6799,0.6613,0.5727,0.3155,0.316,0.7615,0.6712,0.5053,med,Ik zit in een verzekeringsorganisatie waar stress en zelftwwijfel elkaar voeden: ik zeg ja op alles wat me wordt gevraagd. Op mijn 50e wil ik eindelijk grenzen durven stellen en mijn zelfvertrouwen herstellen.
K00231,2023-02-17,25-34,F,professional_services,large,manager,nl,Noord-Holland,zelfonderzoek,stress,pattern-awareness|recovery-routines,want:balance,0.2622,0.7987,0.4318,0.4086,0.5612,0.148,0.1378,0.7933,low,"Als jonge manager (25-34) in consulting ben ik nieuwsgierig naar mijn eigen patronen: waarom voelt werk zo stressvol en hoe kan ik dat eerder onderkennen? Recovery-routines en zelfbewustzijn voelen nu nog niet urgent, maar ik wil eraan werken."
K00232,2023-06-17,45-54,F,tech,large,employee,nl,Utrecht,balans werk/prive,zelfonderzoek,boundary-setting|recovery-routines,style:supportive|want:balance,0.8679,0.4103,0.3643,0.4261,0.6489,0.5927,0.6731,0.4943,med,Ik merge werk en privé volledig in elkaar en weet eigenlijk niet meer wie ik buiten mijn tech-rol ben. Op mijn 50e wil ik bewuster grenzen trekken en een gezondere balans ontdekken.
K00233,2023-10-22,35-44,F,insurance_finance,large,employee,nl,Utrecht,samenwerken,persoonlijk leiderschap,alignment|energy-management,style:directive|style:flexible|want:balance,0.8653,0.9008,0.8302,0.1316,0.7375,0.3159,0.3328,0.5148,low,"Als medewerker in finance merk ik dat ik veel energie steek in het leiden van anderen, maar niet altijd vanuit mijn eigen waarden. Ik wil daar meer afstemming in vinden, op mijn tempo."
K00234,2023-01-13,45-54,M,professional_services,medium,employee,nl|en,Noord-Holland,loslaten,persoonlijk leiderschap,control-release|acceptance|ownership-taking,want:emotion_reg|style:same-sector,0.6611,0.7982,0.2096,0.2119,0.4275,0.7268,0.1607,0.6241,low,Ik heb lange tijd alles willen controleren en merk nu dat dit me blokkeert; op mijn 50e zoek ik vrede met loslaten en meer eigenaarschap voor anderen. Coaching voelt hier op dit moment nog voelbaar maar niet dringend.
K00235,2023-01-27,25-34,M,transport_logistics,small,employee,nl,Overijssel,zelfvertrouwen,stress,recovery-routines|imposter-feelings,style:supportive|want:self_insight,0.3071,0.3348,0.6935,0.3591,0.4014,0.3297,0.4108,0.4392,low,"Als jong medewerker in logistiek twijfel ik aan mijn plek en behaalde succes voelt onecht; ik wil begrijpen waarom en herstelvaardigheden opbouwen, zonder haast."
K00236,2023-02-25,25-34,F,professional_services,medium,employee,nl,Zuid-Holland,balans werk/prive,loopbaan,time-management|boundary-setting,want:stress_resilience|want:balance,0.5475,0.6526,0.3108,0.6459,0.4536,0.247,0.7796,0.7198,high,Op mijn 25e werk ik al fulltime in professional services en mijn privéleven verdwijnt; de spanning tussen carrièreambities en welbevinden wordt nu acuut. Ik heb nú hulp nodig om dit evenwicht terug te vinden.
K00237,2023-10-08,35-44,F,insurance_finance,medium,employee,nl,Groningen,zelfonderzoek,,limiting-beliefs|identity-clarity,want:self_insight|want:career_dev,0.5308,0.5803,0.6859,0.3324,0.2809,0.112,0.5322,0.7329,med,Als medewerker (35-44) in finance voel ik dat ik tegen beperkende overtuigingen aanloop over wie ik ben en kan worden. Ik wil me zelf beter begrijpen en mijn echte identiteit ontdekken.
K00238,2023-04-19,35-44,M,professional_services,medium,employee,nl,Overijssel,stress,persoonlijk leiderschap,recovery-routines|saying-no,style:same-sector|want:assertiveness|want:stress_resilience,0.35,0.2888,0.9219,0.3157,0.7362,0.4639,0.3127,0.4782,high,"Ik ben 35, werk in professional services en zit in een acute stressspiraal: overbelast, kan niet nee zeggen, geen rust meer. Coaching nu is niet luxe maar noodzaak om dit hoofd boven water te houden."
K00239,2023-09-03,35-44,F,public,large,employee,nl|en,Gelderland,stress,leiderschap,perfectionism|decision-making,want:self_insight|style:experienced|want:leadership_dev,0.3804,0.5422,0.6611,0.3593,0.6333,0.1182,0.1452,0.5252,high,Als medewerker (35-44) in de publieke sector voel ik me verlamd door perfectionism en kan ik geen beslissingen nemen; de stress bouwt op. Dit kan zo niet langer en ik wil hier nu iets aan doen.
K00240,2023-02-26,35-44,F,insurance_finance,medium,employee,nl,Noord-Holland,stress,persoonlijk leiderschap,calming-techniques|self-direction,want:leadership_dev|style:supportive,0.6599,0.6968,0.3289,0.781,0.1659,0.8088,0.3855,0.7899,low,"Ik werk in insurance en merk dat stress me uit evenwicht brengt, maar ik wil eerst zelf leren wat me kalmeert en hoe ik beter zelf kan sturen. Dit is iets wat ik graag uitstekend wil aanpakken."
K00241,2023-03-25,45-54,M,zorg,large,employee,nl,Limburg,communicatie,stress,recovery-routines|listening|difficult-conversations|calming-techniques,want:emotion_reg|style:same-sector|style:structured,0.4773,0.5518,0.2033,0.9194,0.8106,0.7516,0.1884,0.6463,med,Als zorgmedewerker (45-54) merk ik dat stress mijn communicatie verslechtert: ik luister minder goed en moeilijke gesprekken voelen onmogelijk. Ik wil herstellen en beter naar anderen kunnen luisteren.
K00242,2023-09-04,55-64,M,professional_services,large,employee,nl,Utrecht,balans werk/prive,,energy-management|boundary-setting,style:flexible|want:balance,0.5468,0.3645,0.4222,0.1668,0.7814,0.7914,0.1621,0.7357,low,Op mijn 60e werk ik nog fulltime in professional services en voel de balans compleet weg; mijn energie is op. Ik wil voor mezelf helder krijgen waar mijn grenzen liggen en wat ik nog wil.
K00243,2023-08-04,25-34,F,public,medium,employee,nl,Overijssel,persoonlijk leiderschap,balans werk/prive,self-direction|boundary-setting|decision-making,want:assertiveness,0.577,0.4911,0.277,0.2438,0.7244,0.6922,0.522,0.1881,med,Als jonge medewerker (25-34) in de publieke sector voel ik me onzeker over mijn eigen richting en grens ik niet goed af naar werk en privé. Ik wil leren beter voor mezelf op te staan en weloverwogen keuzes te maken.
K00244,2023-01-24,45-54,F,public,medium,employee,nl,Gelderland,persoonlijk leiderschap,communicatie,self-direction|listening|value-alignment,want:communication|style:supportive,0.8096,0.1526,0.5084,0.4716,0.5261,0.4203,0.8574,0.4342,low,Op mijn 50e merk ik dat ik anderen niet echt hoor en niet vanuit mijn waarden spreek; communicatie voelt oppervlakkig. Ik wil dieper met jezelf en anderen in contact komen.
K00245,2023-11-25,25-34,F,zorg,small,employee,nl,Limburg,stress,,saying-no|perfectionism|recovery-routines,want:self_insight|style:experienced,0.347,0.1973,0.3467,0.6393,0.3836,0.8667,0.4364,0.3734,high,Op mijn 25e zit ik in de zorg en ben ik al volledig uitgeput door perfectionism en onvermogen om grenzen te stellen. Dit is acuut en ik heb nú hulp nodig om niet helemaal op te branden.
K00246,2023-01-25,45-54,M,tech,large,employee,nl,Noord-Holland,emotieregulatie,loopbaan,values-mapping|calming-techniques|career-switch|identity-clarity,want:stress_resilience|want:self_insight,0.4233,0.635,0.484,0.8904,0.652,0.3634,0.3683,0.3647,low,Op mijn 50e in tech besef ik dat ik niet meer weet wat ik wil en voel ik mijn loopbaankeuze als verkeerd; emotioneel ben ik onstabiel. Ik wil mijn waarden en identiteit opnieuw ontdekken en misschien van richting veranderen.
K00247,2023-10-21,25-34,F,insurance_finance,large,employee,nl|en,Limburg,balans werk/prive,stress,calming-techniques|energy-management|recovery-routines|workload-negotiation,style:flexible|style:same-sector,0.5131,0.9198,0.4819,0.4968,0.7681,0.2557,0.2877,0.4215,high,Ik werk in de verzekeringsbranche en voel me constant uitgeput door de hoge werkdruk. Mijn stress begint mijn privéleven in te pakken en ik wil leren hoe ik beter kan herstellen en mijn werkbelasting beter kan managen voordat het helemaal uit de hand loopt.
K00248,2023-07-07,25-34,F,insurance_finance,large,employee,nl,Groningen,balans werk/prive,,energy-management|recovery-routines,style:challenging|style:same-sector,0.5264,0.4938,0.4437,0.5484,0.8265,0.6454,0.9811,0.4927,low,Ik merk dat mijn energie niet meer aansluit bij mijn werkritme in de financiële sector en ik wil beter leren hoe ik kan herstellen en mijn kracht beter kan inzetten in mijn werk en privéleven.
K00249,2023-01-07,45-54,F,insurance_finance,large,employee,nl,Utrecht,persoonlijk leiderschap,,value-alignment|energy-management,want:self_insight|want:balance,0.8282,0.3881,0.7564,0.4547,0.7591,0.5288,0.5332,0.2185,high,"Op mijn 45e voel ik dat ik niet meer volledig achter mijn werk sta en ik wil helder krijgen wat mij echt drijft, zodat ik met meer bewustzijn kan leiden en energie vrijmaakt."
K00250,2023-02-25,35-44,M,zorg,medium,employee,nl|en,Noord-Holland,zelfonderzoek,stress,pattern-awareness|saying-no,style:structured|want:stress_resilience|style:flexible,0.4456,0.5916,0.3495,0.749,0.4062,0.4676,0.3246,0.4574,low,In de zorg merk ik dat ik steeds dezelfde patronen herhaal die mij belasten; ik wil beter begrijpen wat mij tegenhoudt en leren nee te zeggen zonder schuldgevoel.
K00251,2023-10-13,45-54,F,insurance_finance,medium,director,nl,Utrecht,loopbaan,assertiviteit,transition-planning|saying-no,style:directive|want:career_dev|want:stress_resilience,0.4301,0.4001,0.3876,0.5701,0.1452,0.4788,0.5028,0.3854,med,Als directeur in de verzekeringsbranche merk ik dat ik moeite heb grenzen te stellen en wil ik duidelijk krijgen hoe ik assertiever kan optreden zonder mijn loopbaan in gevaar te brengen.
K00252,2023-09-24,35-44,F,transport_logistics,medium,employee,nl,Gelderland,communicatie,,nonviolent-communication|feedback-skills|listening,want:communication|style:directive,0.4433,0.3977,0.5245,0.7861,0.5662,0.5404,0.1879,0.1923,high,"In mijn rol in transport & logistics wil ik mijn communicatie verbeteren en beter luisteren naar collega's, want veel conflicten ontstaan door misverstanden die ik zelf kan helpen voorkomen."
K00253,2023-03-17,35-44,F,professional_services,large,manager,nl|en,Noord-Holland,loopbaan,persoonlijk leiderschap,career-switch|self-direction|identity-clarity,style:structured|want:career_dev|want:self_insight,0.6074,0.2945,0.691,0.1816,0.3256,0.7973,0.7085,0.6066,high,"Als manager in professional services voel ik dat ik op een kruispunt sta: ik wil weten wie ik echt ben en wat ik écht wil, zodat ik een bewuste keuze kan maken voor mijn volgende stap."
K00254,2023-10-16,45-54,M,insurance_finance,large,employee,nl|en,Noord-Holland,balans werk/prive,loopbaan,career-switch|boundary-setting|time-management,want:stress_resilience|want:balance,0.4421,0.2968,0.3069,0.7416,0.6376,0.6639,0.6953,0.6632,high,"Ik ben 45 en werk in de verzekeringsbranche, maar mijn huidige rol voldoet niet meer; ik wil een carrièreswitch maken en tegelijk mijn werk-privébalans terugvinden voordat ik uitbrand."
K00255,2023-01-10,35-44,M,transport_logistics,small,director,nl,Noord-Brabant,loslaten,communicatie,rumination-reduction|control-release,want:emotion_reg,0.6199,0.4409,0.8167,0.3524,0.3771,0.4632,0.6127,0.4034,med,Als directeur in transport & logistics merk ik dat ik te veel piekeren en controle willen houden; ik wil leren loslaten zodat ik beter kan communiceren en meer rust vind.
K00256,2023-02-10,35-44,M,transport_logistics,medium,employee,nl,Noord-Holland,loopbaan,balans werk/prive,identity-clarity|values-mapping|time-management,want:career_dev|want:self_insight,0.5713,0.1136,0.1795,0.2342,0.1538,0.7088,0.939,0.4979,low,Ik werk in transport & logistics en twijfel of mijn huidige pad nog past; ik wil mijn waarden beter uitlijnen met mijn werk en meer bewustzijn over hoe ik mijn tijd echt wil besteden.
K00257,2023-07-04,35-44,M,zorg,medium,manager,nl|en,Flevoland,stress,persoonlijk leiderschap,value-alignment|recovery-routines,style:challenging|want:stress_resilience|want:self_insight,0.6342,0.3291,0.2482,0.5306,0.5552,0.0942,0.3964,0.3169,med,Als manager in de zorg voel ik me gespannen en uit balans met wat ik eigenlijk wil bereiken; ik zoek steun om mijn waarden scherp te krijgen en beter te herstellen.
K00258,2023-11-24,55-64,F,zorg,small,manager,nl,Utrecht,leiderschap,persoonlijk leiderschap,first-time-manager|delegation|energy-management|value-alignment,style:challenging|want:balance,0.7308,0.1858,0.877,0.5514,0.6673,0.5681,0.5195,0.5594,med,Ik ben net bevorderd tot manager in de zorg en voel me onzeker hoe ik mijn team het beste kan leiden; ik wil leren delegeren en mijn eigen energie beter bewaken zodat ik authentiek kan blijven.
K00259,2023-01-20,25-34,F,tech,large,employee,nl,Zeeland,persoonlijk leiderschap,stress,perfectionism|self-direction|recovery-routines,style:supportive|style:structured,0.8561,0.4157,0.2971,0.6213,0.6394,0.5768,0.5702,0.5307,low,In de tech-sector merk ik dat perfectionism mij blokkeert; ik wil begrijpen waar dat vandaan komt en leren beter voor mezelf zorgen zonder mijn standaarden los te laten.
K00260,2023-10-12,55-64,F,tech,large,employee,nl,Flevoland,persoonlijk leiderschap,loopbaan,value-alignment|career-switch,style:flexible|want:career_dev|want:self_insight,0.1828,0.9515,0.52,0.5017,0.445,0.5333,0.3092,0.8549,low,Op mijn 55e in tech realiseer ik me dat ik al jaren iets doe wat niet aanvoelt; ik wil verkennen wat mij echt vervult en of een carrièreswitch nog realistisch is.
K00261,2023-05-15,45-54,M,zorg,medium,employee,nl|other,Utrecht,stress,samenwerken,alignment|team-roles,style:directive|want:collaboration|style:structured,0.2247,0.6015,0.2452,0.2967,0.5419,0.7271,0.3233,0.2994,med,In de zorg voel ik stress in mijn samenwerking met het team; ik wil beter begrijpen hoe we elkaar kunnen ondersteunen en waar mijn rol precies ligt zodat ik meer ontspannen kan werken.
K00262,2023-06-23,35-44,M,professional_services,small,employee,nl,Overijssel,loopbaan,stress,values-mapping|identity-clarity|perfectionism,want:stress_resilience|want:self_insight,0.736,0.5395,0.6845,0.2391,0.3937,0.7997,0.3846,0.1616,low,In professional services twijfel ik of mijn huidige rol aansluit bij wie ik ben; ik wil mijn waarden en identiteit verkennen en voelen waar mijn echte passie ligt.
K00263,2023-10-25,45-54,F,zorg,large,employee,nl,Utrecht,zelfonderzoek,,pattern-awareness|identity-clarity,want:self_insight|style:experienced,0.5027,0.2101,0.6831,0.5385,0.7673,0.5535,0.7061,0.7459,med,"Als 45-jarige in de zorg wil ik beter begrijpen wie ik ben en welke patronen mij steeds tegenwerken, zodat ik meer intentioneel keuzes kan maken."
K00264,2023-04-12,55-64,F,professional_services,large,employee,nl,Friesland,zelfonderzoek,stress,identity-clarity|boundary-setting|imposter-feelings|workload-negotiation,want:assertiveness|want:confidence,0.6309,0.3249,0.8456,0.1846,0.7066,0.6117,0.2504,0.4686,high,Op mijn 55e in professional services voel ik me onzeker over mijn eigen competentie en kan ik niet altijd nee zeggen; ik wil mijn zelfvertrouwen terugvinden en duidelijke grenzen stellen.
K00265,2023-05-08,45-54,M,zorg,medium,employee,nl,Zuid-Holland,balans werk/prive,assertiviteit,recovery-routines|saying-no,want:stress_resilience|want:assertiveness,0.1096,0.1948,0.5141,0.9785,0.621,0.367,0.0686,0.7369,med,Als verpleegkundige merk ik dat ik te veel op mij neem en niet goed voor mezelf zorg; ik wil leren assertief nee te zeggen en betere herstelmomenten inbouwen in mijn week.
K00266,2023-05-02,45-54,M,transport_logistics,medium,employee,nl,Noord-Brabant,persoonlijk leiderschap,zelfonderzoek,identity-clarity|imposter-feelings,want:career_dev|want:confidence|style:directive,0.8288,0.5717,0.448,0.3316,0.1786,0.807,0.6568,0.3873,med,In transport & logistics voel ik twijfel over wie ik echt ben en wat ik kan; ik wil mijn identiteit verkennen zodat ik meer zelfvertrouwen krijg in mijn rol en leiderschap.
K00267,2023-01-04,35-44,F,transport_logistics,medium,director,nl,Utrecht,persoonlijk leiderschap,,value-alignment|ownership-taking|decision-making,want:self_insight|style:same-sector|style:directive,0.5807,0.2908,0.4844,0.3819,0.1829,0.467,0.4399,0.5041,med,Ik wil als directeur in transport & logistiek duidelijker mijn waarden uitdrukken in mijn beslissingen en meer eigenaarschap nemen voor de richting die ik inslaat.
K00268,2023-10-21,35-44,F,tech,large,director,nl,Noord-Holland,communicatie,,difficult-conversations|feedback-skills,want:communication|style:supportive,0.4416,0.9166,0.2681,0.773,0.5539,0.4433,0.3787,0.5023,low,Als director in tech merk ik dat ik moeilijke gesprekken uitstellen en feedback geven niet altijd even direct aanpak—dat wil ik veranderen.
K00269,2023-11-25,35-44,F,tech,medium,manager,nl|en,Noord-Holland,leiderschap,persoonlijk leiderschap,ownership-taking|first-time-manager|alignment|value-alignment,style:challenging,0.6049,0.4899,0.4101,0.8932,0.1314,0.9094,0.749,0.6514,low,Ik ben net manager geworden in tech en voel dat ik mijn persoonlijke leiderschap en waarden beter moet verankeren om aligned te blijven met mijn team.
K00270,2023-05-22,45-54,F,zorg,large,employee,nl,Zuid-Holland,communicatie,zelfvertrouwen,speaking-up|difficult-conversations|visibility|limiting-beliefs,style:same-sector|style:flexible,0.4328,0.9008,0.1471,0.7511,0.8373,0.3921,0.5823,0.4733,high,In de zorg zit ik met imposter-gevoelens en durf ik niet goed mijn mening uit te spreken—het remt me steeds meer en daar wil ik nu echt wat aan doen.
K00271,2023-09-12,25-34,F,professional_services,medium,manager,nl,Utrecht,loopbaan,,values-mapping|direction-clarity|identity-clarity,want:self_insight|want:career_dev,0.2351,0.7678,0.4884,0.5783,0.3604,0.6264,0.4977,0.9179,med,Als jonge manager in professional services voel ik dat ik niet goed weet waar mijn loopbaan heen gaat en welke waarden er werkelijk voor me tellen.
K00272,2023-04-25,45-54,M,transport_logistics,medium,employee,nl,Noord-Holland,loopbaan,persoonlijk leiderschap,career-switch|direction-clarity|self-direction,style:flexible|want:leadership_dev,0.3482,0.5371,0.4519,0.4741,0.7006,0.368,0.646,0.3467,low,"Na jaren in transport & logistiek merk ik dat ik graag iets anders wil doen, maar ik weet niet goed hoe ik die stap ga zetten."
K00273,2023-05-04,35-44,F,transport_logistics,large,employee,nl|en,Zuid-Holland,loopbaan,stress,saying-no|transition-planning|values-mapping,want:stress_resilience|want:career_dev,0.4919,0.6639,0.246,0.489,0.6713,0.2099,0.4882,0.4212,med,De werkdruk in transport & logistiek wordt me te veel en ik realiseer me dat ik eigenlijk een heel ander pad wil—nu is het moment om daar serieus naar te kijken.
K00274,2023-02-24,45-54,F,transport_logistics,large,employee,nl,Gelderland,stress,zelfvertrouwen,boundary-setting|imposter-feelings,style:supportive|style:structured|want:self_insight,0.2063,0.6171,0.3176,0.6346,0.5661,0.8826,0.1755,0.4654,low,Ik merk dat ik mijn grenzen niet goed bewaar en dat imposter-gevoelens mijn zelfvertrouwen ondergraven—coaching kan me helpen dat los te laten.
